id,province,adcode,model,regYear,regMonth,forecastVolum
1,上海,310000,3c974920a76ac9c1,2018,1,
2,云南,530000,3c974920a76ac9c1,2018,1,
3,内蒙古,150000,3c974920a76ac9c1,2018,1,
4,北京,110000,3c974920a76ac9c1,2018,1,
5,四川,510000,3c974920a76ac9c1,2018,1,
6,安徽,340000,3c974920a76ac9c1,2018,1,
7,山东,370000,3c974920a76ac9c1,2018,1,
8,山西,140000,3c974920a76ac9c1,2018,1,
9,广东,440000,3c974920a76ac9c1,2018,1,
10,广西,450000,3c974920a76ac9c1,2018,1,
11,江苏,320000,3c974920a76ac9c1,2018,1,
12,江西,360000,3c974920a76ac9c1,2018,1,
13,河北,130000,3c974920a76ac9c1,2018,1,
14,河南,410000,3c974920a76ac9c1,2018,1,
15,浙江,330000,3c974920a76ac9c1,2018,1,
16,湖北,420000,3c974920a76ac9c1,2018,1,
17,湖南,430000,3c974920a76ac9c1,2018,1,
18,福建,350000,3c974920a76ac9c1,2018,1,
19,辽宁,210000,3c974920a76ac9c1,2018,1,
20,重庆,500000,3c974920a76ac9c1,2018,1,
21,陕西,610000,3c974920a76ac9c1,2018,1,
22,黑龙江,230000,3c974920a76ac9c1,2018,1,
23,上海,310000,3d7554f1f56dd664,2018,1,
24,云南,530000,3d7554f1f56dd664,2018,1,
25,内蒙古,150000,3d7554f1f56dd664,2018,1,
26,北京,110000,3d7554f1f56dd664,2018,1,
27,四川,510000,3d7554f1f56dd664,2018,1,
28,安徽,340000,3d7554f1f56dd664,2018,1,
29,山东,370000,3d7554f1f56dd664,2018,1,
30,山西,140000,3d7554f1f56dd664,2018,1,
31,广东,440000,3d7554f1f56dd664,2018,1,
32,广西,450000,3d7554f1f56dd664,2018,1,
33,江苏,320000,3d7554f1f56dd664,2018,1,
34,江西,360000,3d7554f1f56dd664,2018,1,
35,河北,130000,3d7554f1f56dd664,2018,1,
36,河南,410000,3d7554f1f56dd664,2018,1,
37,浙江,330000,3d7554f1f56dd664,2018,1,
38,湖北,420000,3d7554f1f56dd664,2018,1,
39,湖南,430000,3d7554f1f56dd664,2018,1,
40,福建,350000,3d7554f1f56dd664,2018,1,
41,辽宁,210000,3d7554f1f56dd664,2018,1,
42,重庆,500000,3d7554f1f56dd664,2018,1,
43,陕西,610000,3d7554f1f56dd664,2018,1,
44,黑龙江,230000,3d7554f1f56dd664,2018,1,
45,上海,310000,2d0d2c3403909fdb,2018,1,
46,云南,530000,2d0d2c3403909fdb,2018,1,
47,内蒙古,150000,2d0d2c3403909fdb,2018,1,
48,北京,110000,2d0d2c3403909fdb,2018,1,
49,四川,510000,2d0d2c3403909fdb,2018,1,
50,安徽,340000,2d0d2c3403909fdb,2018,1,
51,山东,370000,2d0d2c3403909fdb,2018,1,
52,山西,140000,2d0d2c3403909fdb,2018,1,
53,广东,440000,2d0d2c3403909fdb,2018,1,
54,广西,450000,2d0d2c3403909fdb,2018,1,
55,江苏,320000,2d0d2c3403909fdb,2018,1,
56,江西,360000,2d0d2c3403909fdb,2018,1,
57,河北,130000,2d0d2c3403909fdb,2018,1,
58,河南,410000,2d0d2c3403909fdb,2018,1,
59,浙江,330000,2d0d2c3403909fdb,2018,1,
60,湖北,420000,2d0d2c3403909fdb,2018,1,
61,湖南,430000,2d0d2c3403909fdb,2018,1,
62,福建,350000,2d0d2c3403909fdb,2018,1,
63,辽宁,210000,2d0d2c3403909fdb,2018,1,
64,重庆,500000,2d0d2c3403909fdb,2018,1,
65,陕西,610000,2d0d2c3403909fdb,2018,1,
66,黑龙江,230000,2d0d2c3403909fdb,2018,1,
67,上海,310000,a28bb927b6fcb33c,2018,1,
68,云南,530000,a28bb927b6fcb33c,2018,1,
69,内蒙古,150000,a28bb927b6fcb33c,2018,1,
70,北京,110000,a28bb927b6fcb33c,2018,1,
71,四川,510000,a28bb927b6fcb33c,2018,1,
72,安徽,340000,a28bb927b6fcb33c,2018,1,
73,山东,370000,a28bb927b6fcb33c,2018,1,
74,山西,140000,a28bb927b6fcb33c,2018,1,
75,广东,440000,a28bb927b6fcb33c,2018,1,
76,广西,450000,a28bb927b6fcb33c,2018,1,
77,江苏,320000,a28bb927b6fcb33c,2018,1,
78,江西,360000,a28bb927b6fcb33c,2018,1,
79,河北,130000,a28bb927b6fcb33c,2018,1,
80,河南,410000,a28bb927b6fcb33c,2018,1,
81,浙江,330000,a28bb927b6fcb33c,2018,1,
82,湖北,420000,a28bb927b6fcb33c,2018,1,
83,湖南,430000,a28bb927b6fcb33c,2018,1,
84,福建,350000,a28bb927b6fcb33c,2018,1,
85,辽宁,210000,a28bb927b6fcb33c,2018,1,
86,重庆,500000,a28bb927b6fcb33c,2018,1,
87,陕西,610000,a28bb927b6fcb33c,2018,1,
88,黑龙江,230000,a28bb927b6fcb33c,2018,1,
89,上海,310000,17bc272c93f19d56,2018,1,
90,云南,530000,17bc272c93f19d56,2018,1,
91,内蒙古,150000,17bc272c93f19d56,2018,1,
92,北京,110000,17bc272c93f19d56,2018,1,
93,四川,510000,17bc272c93f19d56,2018,1,
94,安徽,340000,17bc272c93f19d56,2018,1,
95,山东,370000,17bc272c93f19d56,2018,1,
96,山西,140000,17bc272c93f19d56,2018,1,
97,广东,440000,17bc272c93f19d56,2018,1,
98,广西,450000,17bc272c93f19d56,2018,1,
99,江苏,320000,17bc272c93f19d56,2018,1,
100,江西,360000,17bc272c93f19d56,2018,1,
101,河北,130000,17bc272c93f19d56,2018,1,
102,河南,410000,17bc272c93f19d56,2018,1,
103,浙江,330000,17bc272c93f19d56,2018,1,
104,湖北,420000,17bc272c93f19d56,2018,1,
105,湖南,430000,17bc272c93f19d56,2018,1,
106,福建,350000,17bc272c93f19d56,2018,1,
107,辽宁,210000,17bc272c93f19d56,2018,1,
108,重庆,500000,17bc272c93f19d56,2018,1,
109,陕西,610000,17bc272c93f19d56,2018,1,
110,黑龙江,230000,17bc272c93f19d56,2018,1,
111,上海,310000,2a2ab41f8f6ff1cb,2018,1,
112,云南,530000,2a2ab41f8f6ff1cb,2018,1,
113,内蒙古,150000,2a2ab41f8f6ff1cb,2018,1,
114,北京,110000,2a2ab41f8f6ff1cb,2018,1,
115,四川,510000,2a2ab41f8f6ff1cb,2018,1,
116,安徽,340000,2a2ab41f8f6ff1cb,2018,1,
117,山东,370000,2a2ab41f8f6ff1cb,2018,1,
118,山西,140000,2a2ab41f8f6ff1cb,2018,1,
119,广东,440000,2a2ab41f8f6ff1cb,2018,1,
120,广西,450000,2a2ab41f8f6ff1cb,2018,1,
121,江苏,320000,2a2ab41f8f6ff1cb,2018,1,
122,江西,360000,2a2ab41f8f6ff1cb,2018,1,
123,河北,130000,2a2ab41f8f6ff1cb,2018,1,
124,河南,410000,2a2ab41f8f6ff1cb,2018,1,
125,浙江,330000,2a2ab41f8f6ff1cb,2018,1,
126,湖北,420000,2a2ab41f8f6ff1cb,2018,1,
127,湖南,430000,2a2ab41f8f6ff1cb,2018,1,
128,福建,350000,2a2ab41f8f6ff1cb,2018,1,
129,辽宁,210000,2a2ab41f8f6ff1cb,2018,1,
130,重庆,500000,2a2ab41f8f6ff1cb,2018,1,
131,陕西,610000,2a2ab41f8f6ff1cb,2018,1,
132,黑龙江,230000,2a2ab41f8f6ff1cb,2018,1,
133,上海,310000,c06a2a387c0ee510,2018,1,
134,云南,530000,c06a2a387c0ee510,2018,1,
135,内蒙古,150000,c06a2a387c0ee510,2018,1,
136,北京,110000,c06a2a387c0ee510,2018,1,
137,四川,510000,c06a2a387c0ee510,2018,1,
138,安徽,340000,c06a2a387c0ee510,2018,1,
139,山东,370000,c06a2a387c0ee510,2018,1,
140,山西,140000,c06a2a387c0ee510,2018,1,
141,广东,440000,c06a2a387c0ee510,2018,1,
142,广西,450000,c06a2a387c0ee510,2018,1,
143,江苏,320000,c06a2a387c0ee510,2018,1,
144,江西,360000,c06a2a387c0ee510,2018,1,
145,河北,130000,c06a2a387c0ee510,2018,1,
146,河南,410000,c06a2a387c0ee510,2018,1,
147,浙江,330000,c06a2a387c0ee510,2018,1,
148,湖北,420000,c06a2a387c0ee510,2018,1,
149,湖南,430000,c06a2a387c0ee510,2018,1,
150,福建,350000,c06a2a387c0ee510,2018,1,
151,辽宁,210000,c06a2a387c0ee510,2018,1,
152,重庆,500000,c06a2a387c0ee510,2018,1,
153,陕西,610000,c06a2a387c0ee510,2018,1,
154,黑龙江,230000,c06a2a387c0ee510,2018,1,
155,上海,310000,7023efdab9cedc03,2018,1,
156,云南,530000,7023efdab9cedc03,2018,1,
157,内蒙古,150000,7023efdab9cedc03,2018,1,
158,北京,110000,7023efdab9cedc03,2018,1,
159,四川,510000,7023efdab9cedc03,2018,1,
160,安徽,340000,7023efdab9cedc03,2018,1,
161,山东,370000,7023efdab9cedc03,2018,1,
162,山西,140000,7023efdab9cedc03,2018,1,
163,广东,440000,7023efdab9cedc03,2018,1,
164,广西,450000,7023efdab9cedc03,2018,1,
165,江苏,320000,7023efdab9cedc03,2018,1,
166,江西,360000,7023efdab9cedc03,2018,1,
167,河北,130000,7023efdab9cedc03,2018,1,
168,河南,410000,7023efdab9cedc03,2018,1,
169,浙江,330000,7023efdab9cedc03,2018,1,
170,湖北,420000,7023efdab9cedc03,2018,1,
171,湖南,430000,7023efdab9cedc03,2018,1,
172,福建,350000,7023efdab9cedc03,2018,1,
173,辽宁,210000,7023efdab9cedc03,2018,1,
174,重庆,500000,7023efdab9cedc03,2018,1,
175,陕西,610000,7023efdab9cedc03,2018,1,
176,黑龙江,230000,7023efdab9cedc03,2018,1,
177,上海,310000,af6f4f548684e14d,2018,1,
178,云南,530000,af6f4f548684e14d,2018,1,
179,内蒙古,150000,af6f4f548684e14d,2018,1,
180,北京,110000,af6f4f548684e14d,2018,1,
181,四川,510000,af6f4f548684e14d,2018,1,
182,安徽,340000,af6f4f548684e14d,2018,1,
183,山东,370000,af6f4f548684e14d,2018,1,
184,山西,140000,af6f4f548684e14d,2018,1,
185,广东,440000,af6f4f548684e14d,2018,1,
186,广西,450000,af6f4f548684e14d,2018,1,
187,江苏,320000,af6f4f548684e14d,2018,1,
188,江西,360000,af6f4f548684e14d,2018,1,
189,河北,130000,af6f4f548684e14d,2018,1,
190,河南,410000,af6f4f548684e14d,2018,1,
191,浙江,330000,af6f4f548684e14d,2018,1,
192,湖北,420000,af6f4f548684e14d,2018,1,
193,湖南,430000,af6f4f548684e14d,2018,1,
194,福建,350000,af6f4f548684e14d,2018,1,
195,辽宁,210000,af6f4f548684e14d,2018,1,
196,重庆,500000,af6f4f548684e14d,2018,1,
197,陕西,610000,af6f4f548684e14d,2018,1,
198,黑龙江,230000,af6f4f548684e14d,2018,1,
199,上海,310000,7cf283430b3b5e38,2018,1,
200,云南,530000,7cf283430b3b5e38,2018,1,
201,内蒙古,150000,7cf283430b3b5e38,2018,1,
202,北京,110000,7cf283430b3b5e38,2018,1,
203,四川,510000,7cf283430b3b5e38,2018,1,
204,安徽,340000,7cf283430b3b5e38,2018,1,
205,山东,370000,7cf283430b3b5e38,2018,1,
206,山西,140000,7cf283430b3b5e38,2018,1,
207,广东,440000,7cf283430b3b5e38,2018,1,
208,广西,450000,7cf283430b3b5e38,2018,1,
209,江苏,320000,7cf283430b3b5e38,2018,1,
210,江西,360000,7cf283430b3b5e38,2018,1,
211,河北,130000,7cf283430b3b5e38,2018,1,
212,河南,410000,7cf283430b3b5e38,2018,1,
213,浙江,330000,7cf283430b3b5e38,2018,1,
214,湖北,420000,7cf283430b3b5e38,2018,1,
215,湖南,430000,7cf283430b3b5e38,2018,1,
216,福建,350000,7cf283430b3b5e38,2018,1,
217,辽宁,210000,7cf283430b3b5e38,2018,1,
218,重庆,500000,7cf283430b3b5e38,2018,1,
219,陕西,610000,7cf283430b3b5e38,2018,1,
220,黑龙江,230000,7cf283430b3b5e38,2018,1,
221,上海,310000,d4efbebb087fd03f,2018,1,
222,云南,530000,d4efbebb087fd03f,2018,1,
223,内蒙古,150000,d4efbebb087fd03f,2018,1,
224,北京,110000,d4efbebb087fd03f,2018,1,
225,四川,510000,d4efbebb087fd03f,2018,1,
226,安徽,340000,d4efbebb087fd03f,2018,1,
227,山东,370000,d4efbebb087fd03f,2018,1,
228,山西,140000,d4efbebb087fd03f,2018,1,
229,广东,440000,d4efbebb087fd03f,2018,1,
230,广西,450000,d4efbebb087fd03f,2018,1,
231,江苏,320000,d4efbebb087fd03f,2018,1,
232,江西,360000,d4efbebb087fd03f,2018,1,
233,河北,130000,d4efbebb087fd03f,2018,1,
234,河南,410000,d4efbebb087fd03f,2018,1,
235,浙江,330000,d4efbebb087fd03f,2018,1,
236,湖北,420000,d4efbebb087fd03f,2018,1,
237,湖南,430000,d4efbebb087fd03f,2018,1,
238,福建,350000,d4efbebb087fd03f,2018,1,
239,辽宁,210000,d4efbebb087fd03f,2018,1,
240,重庆,500000,d4efbebb087fd03f,2018,1,
241,陕西,610000,d4efbebb087fd03f,2018,1,
242,黑龙江,230000,d4efbebb087fd03f,2018,1,
243,上海,310000,7245e0ee27b195cd,2018,1,
244,云南,530000,7245e0ee27b195cd,2018,1,
245,内蒙古,150000,7245e0ee27b195cd,2018,1,
246,北京,110000,7245e0ee27b195cd,2018,1,
247,四川,510000,7245e0ee27b195cd,2018,1,
248,安徽,340000,7245e0ee27b195cd,2018,1,
249,山东,370000,7245e0ee27b195cd,2018,1,
250,山西,140000,7245e0ee27b195cd,2018,1,
251,广东,440000,7245e0ee27b195cd,2018,1,
252,广西,450000,7245e0ee27b195cd,2018,1,
253,江苏,320000,7245e0ee27b195cd,2018,1,
254,江西,360000,7245e0ee27b195cd,2018,1,
255,河北,130000,7245e0ee27b195cd,2018,1,
256,河南,410000,7245e0ee27b195cd,2018,1,
257,浙江,330000,7245e0ee27b195cd,2018,1,
258,湖北,420000,7245e0ee27b195cd,2018,1,
259,湖南,430000,7245e0ee27b195cd,2018,1,
260,福建,350000,7245e0ee27b195cd,2018,1,
261,辽宁,210000,7245e0ee27b195cd,2018,1,
262,重庆,500000,7245e0ee27b195cd,2018,1,
263,陕西,610000,7245e0ee27b195cd,2018,1,
264,黑龙江,230000,7245e0ee27b195cd,2018,1,
265,上海,310000,8c915fe4632fb9fa,2018,1,
266,云南,530000,8c915fe4632fb9fa,2018,1,
267,内蒙古,150000,8c915fe4632fb9fa,2018,1,
268,北京,110000,8c915fe4632fb9fa,2018,1,
269,四川,510000,8c915fe4632fb9fa,2018,1,
270,安徽,340000,8c915fe4632fb9fa,2018,1,
