province,adcode,model,bodyType,regYear,regMonth,salesVolume
上海,310000,3c974920a76ac9c1,SUV,2016,1,292
云南,530000,3c974920a76ac9c1,SUV,2016,1,466
内蒙古,150000,3c974920a76ac9c1,SUV,2016,1,257
北京,110000,3c974920a76ac9c1,SUV,2016,1,408
四川,510000,3c974920a76ac9c1,SUV,2016,1,610
安徽,340000,3c974920a76ac9c1,SUV,2016,1,206
山东,370000,3c974920a76ac9c1,SUV,2016,1,503
山西,140000,3c974920a76ac9c1,SUV,2016,1,236
广东,440000,3c974920a76ac9c1,SUV,2016,1,3635
广西,450000,3c974920a76ac9c1,SUV,2016,1,450
江苏,320000,3c974920a76ac9c1,SUV,2016,1,876
江西,360000,3c974920a76ac9c1,SUV,2016,1,253
河北,130000,3c974920a76ac9c1,SUV,2016,1,306
河南,410000,3c974920a76ac9c1,SUV,2016,1,537
浙江,330000,3c974920a76ac9c1,SUV,2016,1,650
湖北,420000,3c974920a76ac9c1,SUV,2016,1,635
湖南,430000,3c974920a76ac9c1,SUV,2016,1,525
福建,350000,3c974920a76ac9c1,SUV,2016,1,462
辽宁,210000,3c974920a76ac9c1,SUV,2016,1,791
重庆,500000,3c974920a76ac9c1,SUV,2016,1,195
陕西,610000,3c974920a76ac9c1,SUV,2016,1,298
黑龙江,230000,3c974920a76ac9c1,SUV,2016,1,309
上海,310000,3d7554f1f56dd664,Sedan,2016,1,389
云南,530000,3d7554f1f56dd664,Sedan,2016,1,306
内蒙古,150000,3d7554f1f56dd664,Sedan,2016,1,260
北京,110000,3d7554f1f56dd664,Sedan,2016,1,449
四川,510000,3d7554f1f56dd664,Sedan,2016,1,757
安徽,340000,3d7554f1f56dd664,Sedan,2016,1,275
山东,370000,3d7554f1f56dd664,Sedan,2016,1,890
山西,140000,3d7554f1f56dd664,Sedan,2016,1,387
广东,440000,3d7554f1f56dd664,Sedan,2016,1,8330
广西,450000,3d7554f1f56dd664,Sedan,2016,1,801
